Program_ID,Industry_Feedback_Score,Student_Performance_Score,Graduate_Employment_Rate,Skill_Gap_Index,Employer_Satisfaction_Level,Curriculum_Flexibility_Score,Technology_Integration_Level,Industry_Trend_Alignment,Recommended_Curriculum_Adjustment_%,Curriculum_Adjustment_Level
VET575,61,77,56,0.16,2,34,88,60,20.4,Medium
VET576,62,52,98,0.33,1,62,91,59,33.7,High
VET577,41,95,54,0.17,5,78,65,73,21.3,Medium
VET578,66,86,32,0.21,2,63,85,41,20.1,Medium
VET579,81,64,97,0.19,4,59,50,80,20.5,Medium
VET580,41,48,54,0.17,3,37,42,78,30.7,High
VET581,65,43,49,0.43,3,68,38,53,39.9,High
VET582,56,53,63,0.21,2,76,40,53,28.7,High
VET583,79,76,55,0.47,5,55,99,89,32.5,High
VET584,72,73,34,0.49,2,86,30,40,35.5,High
VET585,48,50,90,0.33,5,66,99,42,36.9,High
VET586,82,80,38,0.16,4,63,85,93,15.6,Medium
VET587,93,95,79,0.25,5,36,60,49,14.9,Medium
VET588,87,42,35,0.42,2,69,66,57,35.2,High
VET589,78,98,89,0.25,4,57,76,31,17.3,Medium
VET590,68,67,73,0.13,1,68,76,72,19.5,Medium
VET591,81,68,40,0.32,3,68,98,37,26.2,High
VET592,94,48,95,0.44,2,57,87,42,33.6,High
VET593,65,42,76,0.42,2,43,65,64,39.6,High
VET594,74,64,32,0.17,2,82,61,52,20.9,Medium
VET595,89,73,59,0.37,4,79,93,75,26.1,High
VET596,64,51,50,0.19,1,67,71,44,26.5,High
VET597,63,81,57,0.19,5,33,77,31,20.7,Medium
VET598,52,48,91,0.45,1,71,59,90,42.5,High
VET599,99,54,62,0.2,4,47,50,93,19.4,Medium
VET600,97,79,64,0.21,2,73,89,81,15.3,Medium
VET601,46,64,81,0.1,3,77,42,65,23.0,Medium
VET602,96,44,63,0.45,2,54,30,96,34.5,High
VET603,75,50,70,0.42,5,36,94,98,36.0,High
VET604,84,98,80,0.35,3,67,62,96,21.1,Medium
VET605,59,73,76,0.4,2,57,67,76,33.6,High
VET606,40,63,87,0.16,3,34,54,31,27.4,High
VET607,47,99,86,0.28,1,32,55,73,24.8,Medium
VET608,85,54,52,0.24,4,73,88,93,24.2,Medium
VET609,55,77,77,0.14,2,60,62,57,20.6,Medium
VET610,53,47,51,0.29,5,76,70,83,34.5,High
VET611,51,98,46,0.47,1,71,59,96,33.7,High
VET612,90,44,98,0.12,2,87,86,65,19.2,Medium
VET613,62,87,40,0.22,1,49,78,92,21.2,Medium
VET614,54,65,44,0.18,5,48,77,54,25.2,High
VET615,67,57,64,0.2,2,77,78,77,25.2,High
VET616,73,45,62,0.46,5,89,76,68,39.4,High
VET617,41,76,45,0.29,3,40,85,76,31.1,High
VET618,71,99,63,0.29,5,69,94,50,20.5,Medium
VET619,62,87,95,0.4,3,32,41,59,30.2,High
VET620,61,52,69,0.16,2,52,98,60,25.4,High
VET621,90,67,57,0.29,3,36,35,55,23.1,Medium
VET622,64,44,76,0.27,2,52,94,51,31.9,High
VET623,97,52,68,0.34,2,36,54,50,27.2,High
VET624,61,56,99,0.5,4,75,30,30,41.6,High
VET625,97,89,49,0.41,2,63,61,66,23.3,Medium
VET626,97,79,30,0.26,3,71,32,75,17.8,Medium
VET627,61,84,92,0.43,4,48,78,38,32.5,High
VET628,88,71,96,0.17,4,87,48,46,16.7,Medium
VET629,91,68,33,0.11,2,38,89,76,13.7,Medium
VET630,81,90,87,0.18,5,77,58,88,14.8,Medium
VET631,45,97,54,0.24,5,80,79,83,23.6,Medium
VET632,54,42,76,0.3,4,47,31,41,35.8,High
VET633,93,95,67,0.35,2,70,85,93,19.9,Medium
VET634,82,79,44,0.46,5,77,46,35,30.8,High
VET635,99,73,92,0.3,2,74,89,82,20.6,Medium
VET636,76,79,50,0.3,2,71,65,45,24.0,Medium
VET637,72,66,86,0.12,4,54,90,34,18.4,Medium
VET638,47,52,82,0.11,4,81,46,75,25.7,High
VET639,92,84,75,0.32,1,43,78,43,20.8,Medium
VET640,99,72,43,0.28,5,73,89,73,19.8,Medium
VET641,83,45,46,0.44,5,54,49,92,36.4,High
VET642,83,63,68,0.16,5,48,79,81,18.8,Medium
VET643,44,58,38,0.11,3,68,32,55,25.1,High
VET644,78,55,35,0.28,2,84,72,82,27.4,High
VET645,43,79,52,0.19,4,44,86,58,25.1,High
VET646,45,67,88,0.12,5,45,79,48,23.6,Medium
VET647,84,72,75,0.39,1,56,97,76,28.3,High
VET648,71,98,67,0.14,5,69,79,37,13.2,Medium
VET649,91,98,43,0.34,2,39,66,52,19.2,Medium
VET650,69,87,91,0.21,2,33,75,64,19.3,Medium
VET651,86,80,64,0.17,4,80,71,82,15.3,Medium
VET652,74,52,48,0.25,3,48,44,87,27.3,High
VET653,94,82,59,0.42,4,57,62,34,25.8,High
VET654,79,84,54,0.26,5,50,40,45,20.4,Medium
VET655,91,64,69,0.4,1,88,49,46,29.0,High
VET656,55,92,43,0.15,4,76,53,61,18.1,Medium
VET657,52,81,55,0.41,3,43,93,81,33.9,High
VET658,89,75,51,0.19,4,62,94,49,16.7,Medium
VET659,99,66,77,0.37,2,77,46,95,25.5,High
VET660,81,77,80,0.33,5,39,90,30,24.9,Medium
VET661,69,99,32,0.47,5,48,44,87,29.9,High
VET662,58,46,71,0.25,5,59,80,73,31.7,High
VET663,56,44,48,0.13,5,51,56,35,26.5,High
VET664,95,82,57,0.11,5,32,90,79,10.1,Medium
VET665,58,84,74,0.43,5,66,87,49,33.1,High
VET666,67,97,92,0.31,1,70,60,43,22.7,Medium
VET667,97,96,48,0.41,3,47,41,34,21.9,Medium
VET668,94,90,76,0.19,5,40,75,70,12.7,Medium
VET669,65,70,43,0.24,3,77,60,69,25.0,High
VET670,76,62,67,0.11,5,31,61,63,17.9,Medium
VET671,65,81,82,0.48,4,41,61,74,34.8,High
VET672,92,49,90,0.37,5,83,82,56,30.3,High
VET673,62,71,65,0.47,2,35,90,73,36.9,High
VET674,48,82,69,0.21,1,72,75,62,24.5,Medium
VET675,51,92,59,0.34,4,88,36,62,28.4,High
VET676,92,69,38,0.37,4,69,33,73,26.3,High
VET677,40,78,93,0.23,2,73,81,49,27.9,High
VET678,97,70,62,0.44,5,58,60,65,28.6,High
VET679,97,57,81,0.48,1,88,65,36,33.2,High
VET680,40,75,43,0.45,4,59,83,61,39.5,High
VET681,86,41,82,0.4,1,31,83,96,34.6,High
VET682,73,53,88,0.21,4,38,46,68,25.3,High
VET683,71,52,70,0.21,5,76,59,53,25.9,High
VET684,93,68,97,0.49,4,31,51,99,32.3,High
VET685,87,51,97,0.1,4,58,72,83,17.4,Medium
VET686,64,78,37,0.39,3,62,56,67,31.1,High
VET687,79,41,31,0.38,5,39,66,61,35.0,High
VET688,84,71,70,0.35,2,63,75,74,26.5,High
VET689,92,52,84,0.5,2,73,64,90,36.2,High
VET690,40,85,45,0.22,5,84,33,99,26.0,High
VET691,55,66,91,0.24,2,37,55,82,27.8,High
VET692,78,88,77,0.13,5,66,48,80,13.3,Medium
VET693,44,80,59,0.28,2,83,74,85,29.2,High
VET694,61,56,41,0.2,3,89,55,56,26.6,High
VET695,68,79,64,0.24,2,62,51,67,22.6,Medium
VET696,94,70,40,0.43,4,76,87,91,28.7,High
VET697,42,73,93,0.47,5,35,92,47,40.5,High
VET698,51,99,79,0.17,1,73,57,93,18.5,Medium
VET699,65,63,50,0.25,1,69,94,59,26.9,High
VET700,55,84,98,0.47,5,74,73,78,35.7,High
VET701,90,74,77,0.12,3,48,72,70,13.2,Medium
VET702,76,87,49,0.14,2,61,66,42,14.4,Medium
VET703,61,45,96,0.17,3,56,95,63,27.3,High
VET704,96,58,73,0.34,1,30,46,54,26.2,High
VET705,68,69,62,0.16,5,72,69,95,20.6,Medium
VET706,53,46,90,0.49,5,81,67,47,44.7,High
VET707,67,49,38,0.28,3,62,90,34,30.8,High
VET708,44,80,97,0.3,3,69,38,48,30.2,High
VET709,86,71,64,0.2,2,61,90,71,18.6,Medium
VET710,88,73,94,0.29,4,34,45,47,22.3,Medium
VET711,69,67,37,0.36,4,46,31,61,30.8,High
VET712,85,99,74,0.4,2,37,72,50,23.2,Medium
VET713,91,54,76,0.4,4,86,71,39,31.0,High
VET714,44,69,69,0.33,1,71,86,66,33.9,High
VET715,51,76,83,0.46,4,63,96,78,37.6,High
VET716,55,68,75,0.43,2,38,59,42,36.9,High
VET717,65,61,76,0.4,4,85,42,84,34.8,High
VET718,65,43,44,0.12,5,52,48,46,24.4,Medium
VET719,87,59,48,0.1,3,64,36,38,15.8,Medium
VET720,60,71,55,0.18,1,79,38,73,22.8,Medium
VET721,78,75,81,0.37,5,36,83,75,27.9,High
VET722,75,89,51,0.26,5,44,90,37,20.2,Medium
VET723,72,43,50,0.26,2,82,31,66,30.0,High
VET724,69,66,80,0.45,3,83,79,48,35.5,High
VET725,76,56,67,0.46,3,49,60,92,36.6,High
VET726,62,51,49,0.46,1,79,62,75,40.4,High
VET727,97,61,58,0.23,2,54,40,55,19.9,Medium
VET728,49,56,80,0.38,1,32,62,75,38.0,High
VET729,93,49,33,0.21,4,89,36,75,22.1,Medium
VET730,44,93,84,0.18,5,84,60,43,21.6,Medium
VET731,75,40,57,0.17,1,75,77,92,25.5,High
VET732,73,61,33,0.24,5,53,76,32,25.2,High
VET733,91,65,51,0.27,2,63,82,57,22.3,Medium
VET734,70,95,74,0.43,4,75,48,58,28.5,High
VET735,49,98,96,0.15,2,51,35,47,18.1,Medium
VET736,97,57,95,0.39,4,40,78,64,28.7,High
VET737,58,89,63,0.31,4,77,79,76,26.1,High
VET738,97,53,84,0.22,5,37,41,34,21.0,Medium
VET739,71,86,30,0.3,2,68,52,88,23.6,Medium
VET740,40,68,67,0.22,2,72,83,88,29.4,High
VET741,95,51,35,0.34,1,64,98,76,27.8,High
VET742,44,75,54,0.27,2,78,88,42,29.7,High
VET743,84,98,46,0.17,1,75,65,62,12.1,Medium
VET744,43,74,90,0.15,3,67,32,91,24.1,Medium
VET745,55,91,41,0.32,3,37,87,45,26.8,High
VET746,63,51,35,0.46,3,83,84,73,40.2,High
VET747,55,46,56,0.24,2,66,86,87,31.8,High
VET748,94,68,37,0.39,2,56,46,35,27.1,High
VET749,41,50,94,0.36,1,57,68,44,39.8,High
VET750,88,72,86,0.47,4,69,97,33,31.5,High
VET751,67,45,69,0.43,1,63,84,85,39.1,High
VET752,71,86,43,0.33,3,61,74,93,25.1,High
VET753,66,54,64,0.36,1,44,30,97,34.0,High
VET754,59,71,77,0.46,4,73,50,63,37.0,High
VET755,63,90,85,0.26,2,46,50,85,22.4,Medium
VET756,51,50,78,0.23,1,62,81,61,31.3,High
VET757,89,97,42,0.1,3,76,72,38,7.8,Low
VET758,74,62,90,0.43,3,75,81,92,34.3,High
VET759,99,65,78,0.42,2,81,96,62,28.2,High
VET760,72,73,75,0.14,1,83,73,50,18.0,Medium
VET761,72,85,91,0.33,4,45,61,84,25.1,High
VET762,90,73,37,0.29,2,58,39,86,21.9,Medium
VET763,82,68,72,0.15,1,38,93,31,17.5,Medium
VET764,76,43,49,0.49,5,62,98,42,40.7,High
VET765,51,56,68,0.19,3,89,97,33,28.1,High
VET766,42,74,78,0.13,4,78,57,79,23.3,Medium
VET767,40,52,93,0.34,4,58,82,77,38.6,High
VET768,72,80,91,0.4,4,42,80,59,29.6,High
VET769,79,78,83,0.11,3,50,82,58,14.1,Medium
VET770,49,54,38,0.36,1,87,33,37,37.4,High
VET771,82,94,66,0.31,2,50,46,41,20.3,Medium
VET772,83,68,78,0.14,1,34,96,70,16.8,Medium
VET773,68,68,70,0.17,2,39,76,55,21.3,Medium
VET774,52,50,46,0.33,4,35,85,79,36.1,High
VET775,51,91,50,0.22,1,85,52,31,22.6,Medium
VET776,70,71,80,0.48,4,80,47,84,35.8,High
VET777,85,41,88,0.43,5,86,30,85,36.3,High
VET778,41,86,68,0.49,4,42,64,43,39.1,High
VET779,90,53,84,0.2,4,30,93,35,21.4,Medium
VET780,89,59,70,0.49,2,49,87,90,34.9,High
VET781,74,61,68,0.27,5,86,88,41,26.5,High
VET782,62,50,42,0.24,4,76,30,42,29.6,High
VET783,56,66,93,0.12,4,75,32,48,21.6,Medium
VET784,65,42,40,0.12,5,37,96,73,24.6,Medium
VET785,47,56,48,0.38,5,39,66,88,38.4,High
VET786,68,83,40,0.28,1,38,58,66,23.8,Medium
VET787,65,95,75,0.19,2,78,62,54,17.5,Medium
VET788,49,67,74,0.35,5,70,90,45,34.3,High
VET789,65,68,30,0.2,5,32,33,67,23.4,Medium
VET790,73,60,69,0.33,3,40,43,72,29.9,High
VET791,90,86,48,0.24,5,41,62,43,16.8,Medium
VET792,80,55,90,0.43,2,39,51,35,34.5,High
VET793,46,76,41,0.43,4,54,77,52,37.1,High
VET794,43,98,90,0.29,4,78,32,89,26.3,High
VET795,97,59,62,0.24,4,78,52,41,20.8,Medium
VET796,92,45,74,0.25,4,54,97,42,25.1,High
VET797,89,58,98,0.42,3,40,50,35,31.6,High
VET798,84,96,37,0.23,5,83,72,92,15.5,Medium
VET799,50,44,54,0.18,4,65,55,67,30.2,High
VET800,68,42,75,0.13,1,68,70,79,24.5,Medium
VET801,95,98,59,0.29,4,82,67,81,15.9,Medium
VET802,75,40,76,0.29,5,55,40,69,31.5,High
VET803,64,97,78,0.44,4,43,58,37,29.8,High
VET804,60,99,76,0.19,3,68,89,90,17.7,Medium
VET805,96,77,47,0.25,2,85,96,37,17.9,Medium
VET806,75,54,95,0.42,2,69,94,63,35.2,High
VET807,49,73,97,0.43,5,30,90,89,37.1,High
VET808,76,74,62,0.25,2,85,48,86,22.5,Medium
VET809,48,88,65,0.28,2,83,75,75,26.8,High
VET810,63,64,48,0.22,1,33,78,51,25.6,High
VET811,74,63,57,0.47,5,59,51,69,36.1,High
VET812,88,51,69,0.15,5,41,86,74,19.7,Medium
VET813,74,57,44,0.47,2,85,43,84,37.3,High
VET814,87,54,70,0.37,2,64,73,80,30.3,High
VET815,75,83,68,0.31,2,42,45,34,23.9,Medium
VET816,57,55,31,0.11,3,81,41,42,23.1,Medium
VET817,88,66,92,0.29,4,60,84,57,23.7,Medium
VET818,78,47,58,0.26,3,67,80,91,28.0,High
VET819,71,99,95,0.16,5,72,68,53,14.0,Medium
VET820,63,85,80,0.36,1,52,62,36,28.4,High
VET821,62,64,39,0.49,4,33,62,67,39.3,High
VET822,71,56,43,0.32,1,81,58,66,30.6,High
VET823,76,68,80,0.39,5,45,98,97,30.7,High
VET824,51,92,68,0.13,5,36,99,71,17.9,Medium
VET825,88,47,57,0.27,1,51,60,34,26.5,High
VET826,94,54,32,0.15,1,58,60,93,17.9,Medium
VET827,52,66,99,0.35,1,40,75,79,33.9,High
VET828,62,85,56,0.48,5,85,81,44,34.6,High
VET829,64,89,31,0.36,2,62,39,82,27.4,High
VET830,74,91,67,0.13,1,87,70,54,13.5,Medium
VET831,80,46,32,0.24,4,58,32,38,26.8,High
VET832,69,42,45,0.32,5,88,88,67,33.8,High
VET833,56,68,69,0.26,3,68,81,51,28.2,High
VET834,88,83,31,0.43,3,41,63,78,27.3,High
VET835,59,92,70,0.43,4,36,78,97,31.3,High
VET836,87,63,41,0.34,2,88,57,44,27.0,High
VET837,64,99,64,0.25,1,84,42,94,19.9,Medium
VET838,61,97,94,0.2,5,68,98,83,18.4,Medium
VET839,52,42,84,0.14,1,71,96,59,28.2,High
VET840,98,59,74,0.24,5,77,90,49,20.6,Medium
VET841,58,85,91,0.27,3,55,89,62,24.9,Medium
VET842,88,54,78,0.37,1,69,53,36,30.1,High
VET843,75,64,54,0.36,4,38,92,37,30.2,High
VET844,51,69,52,0.13,2,70,90,57,22.5,Medium
VET845,80,53,53,0.26,4,63,52,74,26.4,High
VET846,58,46,67,0.17,2,74,59,40,27.7,High
VET847,51,56,57,0.16,1,42,89,60,26.6,High
VET848,48,83,50,0.43,1,84,47,41,35.3,High
VET849,46,59,83,0.12,2,84,85,80,25.0,High
VET850,67,75,47,0.27,3,65,82,73,25.1,High
VET851,53,48,65,0.17,5,54,36,79,28.3,High
VET852,70,77,74,0.45,4,53,98,46,33.1,High
VET853,91,87,82,0.32,4,73,81,64,20.4,Medium
VET854,58,96,59,0.19,4,46,33,30,18.7,Medium
VET855,97,99,89,0.3,1,31,63,58,15.8,Medium
VET856,86,61,61,0.39,4,42,98,80,30.1,High
VET857,55,93,96,0.48,5,60,62,93,34.4,High
VET858,92,92,96,0.19,5,58,98,33,12.7,Medium
VET859,44,92,57,0.45,2,79,67,57,35.3,High
VET860,74,41,73,0.47,1,57,55,45,40.5,High
VET861,51,63,70,0.47,5,89,30,92,40.7,High
VET862,64,47,92,0.35,3,56,33,82,35.3,High
VET863,91,50,52,0.35,1,44,68,46,29.3,High
VET864,98,52,77,0.26,1,60,83,69,23.0,Medium
VET865,60,56,61,0.4,5,69,62,42,36.8,High
VET866,75,47,86,0.31,3,44,62,81,31.1,High
VET867,92,60,62,0.37,2,62,49,87,28.1,High
VET868,62,57,53,0.27,5,49,45,66,29.7,High
VET869,55,69,68,0.39,3,71,50,90,34.7,High
VET870,96,57,63,0.43,1,41,74,63,30.9,High
VET871,78,85,85,0.16,3,66,91,99,15.4,Medium
VET872,84,86,57,0.43,1,38,60,46,27.5,High
VET873,92,70,66,0.32,5,52,71,49,23.6,Medium
VET874,81,77,36,0.44,5,37,41,88,30.4,High
VET875,97,71,97,0.27,4,61,94,98,19.9,Medium
VET876,78,50,66,0.25,4,77,32,62,26.9,High
VET877,53,84,85,0.47,4,43,38,46,36.1,High
VET878,70,64,94,0.2,5,56,80,86,23.2,Medium
VET879,97,72,94,0.44,2,54,45,30,28.2,High
VET880,44,99,76,0.29,5,42,32,42,25.9,High
VET881,74,77,49,0.31,3,84,53,56,25.3,High
VET882,62,80,48,0.22,5,50,42,99,22.6,Medium
VET883,68,47,58,0.33,5,74,31,88,33.5,High
VET884,82,50,89,0.23,1,60,50,35,25.1,High
VET885,50,61,47,0.12,1,66,48,52,23.8,Medium
VET886,57,90,64,0.21,1,77,76,39,21.1,Medium
VET887,86,63,72,0.1,5,87,51,80,15.2,Medium
VET888,51,80,40,0.49,2,72,62,48,38.3,High
VET889,48,56,78,0.49,3,83,61,80,43.7,High
VET890,49,51,67,0.26,3,34,93,97,33.0,High
VET891,97,96,93,0.39,2,42,68,71,20.9,Medium
VET892,83,85,98,0.24,2,57,71,86,18.4,Medium
VET893,56,71,37,0.37,3,72,38,97,33.1,High
VET894,77,54,63,0.42,4,54,54,67,34.8,High
VET895,46,55,77,0.48,1,80,31,91,43.8,High
VET896,85,93,85,0.26,1,64,48,36,17.4,Medium
VET897,52,61,94,0.41,3,76,49,79,37.9,High
VET898,79,67,60,0.21,2,68,99,81,21.3,Medium
VET899,81,59,33,0.5,4,36,46,55,37.0,High
VET900,48,72,79,0.11,3,67,97,55,21.5,Medium
VET901,89,49,98,0.34,1,61,32,48,29.4,High
VET902,66,79,59,0.36,5,32,80,38,29.0,High
VET903,97,71,88,0.38,2,74,55,90,25.4,High
VET904,41,89,96,0.15,5,68,85,49,21.5,Medium
VET905,44,99,74,0.48,3,66,93,79,35.4,High
VET906,68,72,33,0.17,1,84,37,51,20.5,Medium
VET907,76,41,55,0.35,4,79,66,42,34.1,High
VET908,77,72,56,0.19,5,51,56,41,19.7,Medium
VET909,58,72,75,0.22,4,37,74,39,25.0,High
VET910,47,80,93,0.32,1,46,33,94,30.6,High
VET911,87,52,80,0.27,5,81,66,59,25.7,High
VET912,84,69,79,0.16,4,56,62,37,17.4,Medium
VET913,40,72,35,0.17,4,62,60,50,26.1,High
VET914,61,52,88,0.27,5,75,84,51,30.9,High
VET915,91,91,44,0.4,1,46,41,47,23.6,Medium
VET916,56,65,59,0.46,4,71,40,95,38.8,High
VET917,46,61,71,0.13,3,41,61,77,25.1,High
VET918,64,78,66,0.26,5,77,86,73,24.6,Medium
VET919,84,41,71,0.14,2,75,67,38,22.0,Medium
VET920,43,77,64,0.11,2,56,89,96,21.5,Medium
VET921,75,78,35,0.36,1,77,48,83,27.4,High
VET922,45,65,97,0.34,3,37,85,55,35.0,High
VET923,99,85,47,0.17,4,52,43,55,11.7,Medium
VET924,70,97,58,0.19,2,89,62,63,16.1,Medium
VET925,58,89,88,0.11,1,71,39,37,16.1,Medium
VET926,83,54,76,0.43,3,78,93,39,34.1,High
VET927,93,73,46,0.49,3,88,93,77,31.3,High
VET928,78,81,51,0.15,1,58,91,84,15.7,Medium
VET929,66,94,97,0.19,1,79,97,83,17.5,Medium
VET930,49,83,98,0.45,4,49,72,69,36.1,High
VET931,65,88,66,0.47,1,45,88,44,32.9,High
VET932,58,79,78,0.27,4,46,81,47,26.1,High
VET933,78,50,42,0.12,4,45,48,52,20.4,Medium
VET934,42,42,63,0.12,5,48,50,91,29.2,High
VET935,84,98,82,0.33,3,85,51,75,20.1,Medium
VET936,52,45,80,0.26,3,85,38,68,33.6,High
VET937,89,48,32,0.11,3,37,38,44,18.1,Medium
VET938,67,45,71,0.33,5,67,56,82,34.1,High
VET939,97,48,61,0.1,4,67,46,93,16.0,Medium
VET940,59,78,80,0.41,4,82,73,92,33.1,High
VET941,67,70,75,0.22,1,58,74,45,23.6,Medium
VET942,47,71,50,0.12,5,70,37,99,22.4,Medium
VET943,80,80,73,0.34,1,65,47,95,25.0,High
VET944,78,89,40,0.26,5,55,62,42,19.6,Medium
VET945,40,51,97,0.49,1,60,30,76,46.3,High
VET946,42,47,30,0.32,2,73,35,38,38.2,High
VET947,52,47,92,0.21,3,89,70,92,30.7,High
VET948,67,89,53,0.38,3,41,84,63,27.8,High
VET949,96,67,42,0.21,4,84,34,58,17.9,Medium
VET950,99,59,40,0.46,2,46,88,66,31.4,High
VET951,88,86,80,0.25,3,44,47,72,17.7,Medium
VET952,64,98,46,0.32,4,38,78,93,23.6,Medium
VET953,95,46,53,0.12,2,68,94,53,17.8,Medium
VET954,72,50,48,0.27,3,71,83,63,29.1,High
VET955,77,59,66,0.43,1,77,90,77,34.3,High
VET956,92,55,37,0.42,5,41,37,41,31.6,High
VET957,45,43,57,0.19,2,61,32,52,31.9,High
VET958,97,45,34,0.19,4,54,54,42,21.1,Medium
VET959,83,97,46,0.43,2,68,98,74,25.5,High
VET960,84,61,65,0.47,4,47,84,94,34.5,High
VET961,71,65,48,0.14,2,44,69,76,19.8,Medium
VET962,84,42,93,0.28,4,61,79,87,28.8,High
VET963,86,80,40,0.23,3,35,62,34,18.3,Medium
VET964,60,99,83,0.45,1,87,47,34,30.7,High
VET965,55,81,74,0.13,3,73,86,89,19.3,Medium
VET966,93,53,76,0.18,1,72,45,50,19.8,Medium
VET967,60,50,41,0.4,3,81,67,53,38.0,High
VET968,50,57,50,0.12,3,64,70,47,24.6,Medium
VET969,99,93,40,0.3,2,63,36,50,16.6,Medium
VET970,76,51,34,0.28,5,67,82,83,28.6,High
VET971,75,62,85,0.23,4,85,92,39,24.1,Medium
VET972,74,51,49,0.26,4,83,61,53,28.0,High
VET973,58,52,70,0.31,4,86,67,89,33.5,High
VET974,59,64,75,0.16,1,34,51,86,23.4,Medium
VET975,96,84,41,0.33,4,47,45,52,20.5,Medium
VET976,57,90,99,0.42,4,45,81,51,31.6,High
VET977,86,97,46,0.4,2,37,58,97,23.4,Medium
VET978,80,58,48,0.16,3,54,45,63,20.4,Medium
VET979,88,94,55,0.16,4,61,46,99,11.6,Medium
VET980,53,85,77,0.21,5,55,93,57,22.9,Medium
VET981,54,75,81,0.24,4,81,42,68,26.2,High
VET982,70,84,99,0.26,1,51,85,71,22.2,Medium
VET983,40,47,84,0.37,1,60,34,52,41.1,High
VET984,92,68,62,0.12,1,72,41,99,14.0,Medium
VET985,93,94,91,0.11,4,39,70,31,8.1,Low
VET986,93,92,52,0.26,2,85,32,53,16.0,Medium
VET987,42,94,44,0.38,5,86,62,46,31.8,High
VET988,55,71,56,0.18,4,41,79,94,23.8,Medium
VET989,62,90,93,0.36,2,82,85,99,27.6,High
VET990,96,83,80,0.2,2,57,38,98,14.2,Medium
VET991,50,57,82,0.45,4,35,79,89,41.1,High
VET992,51,45,80,0.46,4,88,58,79,43.8,High
VET993,49,57,76,0.22,2,49,68,41,29.8,High
VET994,71,58,33,0.19,2,34,74,76,23.7,Medium
VET995,55,61,36,0.26,2,52,46,96,29.8,High
VET996,47,76,64,0.2,4,38,85,94,25.4,High
VET997,77,71,77,0.37,2,87,75,56,28.9,High
VET998,51,95,74,0.43,1,88,96,77,32.3,High
VET999,63,80,48,0.37,4,58,98,91,29.9,High
VET1000,67,98,92,0.43,1,45,43,73,28.5,High
VET1001,92,42,67,0.26,3,83,96,48,26.2,High
VET1002,47,67,96,0.16,4,75,52,88,25.2,High
VET1003,97,49,88,0.4,3,51,90,37,30.8,High
VET1004,67,90,98,0.24,2,37,52,84,20.6,Medium
VET1005,75,74,42,0.37,2,88,56,76,28.7,High
VET1006,65,68,76,0.21,5,49,83,31,23.9,Medium
VET1007,47,93,90,0.13,2,80,39,68,18.5,Medium
VET1008,97,54,60,0.5,3,43,45,74,34.8,High
VET1009,99,72,51,0.16,2,68,70,61,13.8,Medium
VET1010,89,46,72,0.5,4,66,84,94,38.0,High
VET1011,67,51,96,0.49,2,79,90,67,40.9,High
VET1012,67,88,83,0.42,5,63,78,40,30.0,High
VET1013,76,69,39,0.36,2,40,81,39,29.0,High
VET1014,80,60,71,0.33,3,83,31,88,28.5,High
VET1015,75,70,93,0.45,3,69,79,84,33.5,High
VET1016,66,97,50,0.22,2,62,72,49,18.4,Medium
VET1017,93,63,95,0.29,3,60,37,46,23.3,Medium
VET1018,56,59,70,0.35,3,88,88,97,34.5,High
VET1019,48,76,53,0.26,5,83,94,34,28.2,High
VET1020,72,43,64,0.27,4,73,41,89,30.5,High
VET1021,92,67,85,0.23,5,63,33,52,19.7,Medium
VET1022,59,83,59,0.33,1,79,70,75,28.1,High
VET1023,52,59,86,0.44,5,36,36,81,39.8,High
VET1024,67,99,76,0.18,2,87,98,39,15.8,Medium
VET1025,87,63,64,0.47,4,78,98,75,33.5,High
VET1026,68,89,48,0.38,2,83,59,57,27.6,High
VET1027,52,88,37,0.43,1,52,35,72,33.5,High
VET1028,85,90,55,0.32,4,75,48,55,21.0,Medium
VET1029,74,71,59,0.41,3,85,95,84,31.5,High
VET1030,45,80,36,0.11,5,36,39,77,20.5,Medium
VET1031,57,75,96,0.43,2,83,45,58,35.1,High
VET1032,90,97,94,0.12,1,54,66,56,8.6,Low
VET1033,44,92,65,0.46,3,32,61,47,35.8,High
VET1034,86,73,54,0.5,5,88,76,89,33.2,High
VET1035,64,75,66,0.22,3,67,72,98,23.2,Medium
VET1036,41,41,30,0.18,5,49,65,50,32.6,High
VET1037,49,54,44,0.41,4,63,55,53,39.9,High
VET1038,95,73,66,0.2,3,78,39,32,16.4,Medium
VET1039,69,75,42,0.45,3,73,60,91,33.7,High
VET1040,89,45,37,0.14,3,73,58,31,20.2,Medium
VET1041,98,78,34,0.15,4,59,34,95,12.3,Medium
VET1042,84,81,89,0.49,1,46,30,71,31.5,High
VET1043,44,90,30,0.37,5,88,32,63,31.7,High
VET1044,94,90,65,0.44,3,39,96,71,25.2,High
VET1045,95,97,64,0.23,4,64,64,49,13.1,Medium
VET1046,72,93,95,0.37,1,49,44,97,25.5,High
VET1047,93,51,92,0.34,5,47,96,74,28.2,High
VET1048,40,42,52,0.34,4,74,59,71,40.6,High
VET1049,57,84,38,0.37,5,73,72,76,30.3,High
VET1050,71,57,63,0.33,3,56,89,34,30.9,High
VET1051,86,79,75,0.27,1,88,69,78,20.5,Medium
VET1052,88,60,33,0.21,4,88,94,66,20.9,Medium
VET1053,50,54,59,0.41,1,78,58,63,39.7,High
